setN;elemId;elemType;As1Ti;As1Tj;As1Bi;As1Bj;As2Ti;As2Tj;As2Bi;As2Bj;Asw1i;Asw1j;Asw2i;Asw2j;Reinf1;Reinf2;Crack1i;Crack1j;Crack2i;Crack2j;Sw1i;Sw1j;Sw2i;Sw2j;ls1i;ls1j;ls2i;ls2j
1;325658;1;1.5327101982964466e-05;1.5328525288899793e-05;1.5327101982964466e-05;1.5328525288899793e-05;1.5327101982964466e-05;1.5328525288899793e-05;1.5327101982964466e-05;1.5328525288899793e-05;6.657293426513722e-05;6.65791163635259e-05;6.657293426513722e-05;6.65791163635259e-05;5.677231588481451e-05;5.677231588481451e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325659;1;1.1962716109664395e-05;1.1962684913917867e-05;1.1962716109664395e-05;1.1962684913917867e-05;1.1962716109664395e-05;1.1962684913917867e-05;1.1962716109664395e-05;1.1962684913917867e-05;5.1959797363281645e-05;5.195966186523477e-05;5.1959797363281645e-05;5.195966186523477e-05;4.4306355961720344e-05;4.4306355961720344e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325660;1;9.334102715386319e-06;9.333044659649917e-06;9.334102715386319e-06;9.333044659649917e-06;9.334102715386319e-06;9.333044659649917e-06;9.334102715386319e-06;9.333044659649917e-06;4.054247222900421e-05;4.053787658691437e-05;4.054247222900421e-05;4.053787658691437e-05;3.457075079772739e-05;3.457075079772739e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325141;1;2.28869102195458e-05;2.2894056645146206e-05;2.28869102195458e-05;2.2894056645146206e-05;2.28869102195458e-05;2.2894056645146206e-05;2.28869102195458e-05;2.2894056645146206e-05;9.940879699707106e-05;9.943983734130935e-05;9.940879699707106e-05;9.943983734130935e-05;8.479280238943109e-05;8.479280238943109e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325142;1;2.289405924479175e-05;2.290060255262595e-05;2.289405924479175e-05;2.290060255262595e-05;2.289405924479175e-05;2.290060255262595e-05;2.289405924479175e-05;2.290060255262595e-05;9.943984863281325e-05;9.946826934814527e-05;9.943984863281325e-05;9.946826934814527e-05;8.481704649120791e-05;8.481704649120791e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325143;1;2.2900599952980407e-05;2.2906532344111772e-05;2.2900599952980407e-05;2.2906532344111772e-05;2.2900599952980407e-05;2.2906532344111772e-05;2.2900599952980407e-05;2.2906532344111772e-05;9.946825805664137e-05;9.949402526855543e-05;9.946825805664137e-05;9.949402526855543e-05;8.483900868189615e-05;8.483900868189615e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325144;1;2.2906532344111772e-05;2.291185901783139e-05;2.2906532344111772e-05;2.291185901783139e-05;2.2906532344111772e-05;2.291185901783139e-05;2.2906532344111772e-05;2.291185901783139e-05;9.949402526855543e-05;9.951716156005935e-05;9.949402526855543e-05;9.951716156005935e-05;8.485873710307991e-05;8.485873710307991e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325145;1;2.291185901783139e-05;2.291657217520263e-05;2.291185901783139e-05;2.291657217520263e-05;2.291185901783139e-05;2.291657217520263e-05;2.291185901783139e-05;2.291657217520263e-05;9.951716156005935e-05;9.953763305664138e-05;9.951716156005935e-05;9.953763305664138e-05;8.487619324149192e-05;8.487619324149192e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325146;1;2.291657217520263e-05;2.2920671816225488e-05;2.291657217520263e-05;2.2920671816225488e-05;2.291657217520263e-05;2.2920671816225488e-05;2.291657217520263e-05;2.2920671816225488e-05;9.953763305664138e-05;9.955543975830153e-05;9.953763305664138e-05;9.955543975830153e-05;8.489137709713212e-05;8.489137709713212e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325147;1;2.2920671816225488e-05;2.2924157940899965e-05;2.2920671816225488e-05;2.2924157940899965e-05;2.2920671816225488e-05;2.2924157940899965e-05;2.2920671816225488e-05;2.2924157940899965e-05;9.955543975830153e-05;9.957058166503981e-05;9.955543975830153e-05;9.957058166503981e-05;8.490428867000057e-05;8.490428867000057e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325148;1;2.2924157940899965e-05;2.2927025349934977e-05;2.2924157940899965e-05;2.2927025349934977e-05;2.2924157940899965e-05;2.2927025349934977e-05;2.2924157940899965e-05;2.2927025349934977e-05;9.957058166503981e-05;9.958303619384841e-05;9.957058166503981e-05;9.958303619384841e-05;8.491490870346357e-05;8.491490870346357e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325149;1;2.2927025349934977e-05;2.2929274043330522e-05;2.2927025349934977e-05;2.2929274043330522e-05;2.2927025349934977e-05;2.2929274043330522e-05;2.2927025349934977e-05;2.2929274043330522e-05;9.958303619384841e-05;9.959280334472732e-05;9.958303619384841e-05;9.959280334472732e-05;8.492323719752115e-05;8.492323719752115e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325150;1;2.2929274043330522e-05;2.29309040210866e-05;2.2929274043330522e-05;2.29309040210866e-05;2.2929274043330522e-05;2.29309040210866e-05;2.2929274043330522e-05;2.29309040210866e-05;9.959280334472732e-05;9.959988311767653e-05;9.959280334472732e-05;9.959988311767653e-05;8.492927415217328e-05;8.492927415217328e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325151;1;2.29309040210866e-05;2.2931915283203207e-05;2.29309040210866e-05;2.2931915283203207e-05;2.29309040210866e-05;2.2931915283203207e-05;2.29309040210866e-05;2.2931915283203207e-05;9.959988311767653e-05;9.960427551269606e-05;9.959988311767653e-05;9.960427551269606e-05;8.493301956741997e-05;8.493301956741997e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325152;1;2.2931915283203207e-05;2.293230263038926e-05;2.2931915283203207e-05;2.293230263038926e-05;2.2931915283203207e-05;2.293230263038926e-05;2.2931915283203207e-05;2.293230263038926e-05;9.960427551269606e-05;9.96059579467781e-05;9.960427551269606e-05;9.96059579467781e-05;8.493445418662758e-05;8.493445418662758e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325153;1;2.293230782968035e-05;2.2932076461226934e-05;2.293230782968035e-05;2.2932076461226934e-05;2.293230782968035e-05;2.2932076461226934e-05;2.293230782968035e-05;2.2932076461226934e-05;9.96059805297859e-05;9.960497558593825e-05;9.96059805297859e-05;9.960497558593825e-05;8.493447344326125e-05;8.493447344326125e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325154;1;2.2932076461226934e-05;2.2931226377134053e-05;2.2932076461226934e-05;2.2931226377134053e-05;2.2932076461226934e-05;2.2931226377134053e-05;2.2932076461226934e-05;2.2931226377134053e-05;9.960497558593825e-05;9.96012832641609e-05;9.960497558593825e-05;9.96012832641609e-05;8.493361652306342e-05;8.493361652306342e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325155;1;2.2931226377134053e-05;2.2929754977756158e-05;2.2931226377134053e-05;2.2929754977756158e-05;2.2931226377134053e-05;2.2929754977756158e-05;2.2931226377134053e-05;2.2929754977756158e-05;9.96012832641609e-05;9.959489227294997e-05;9.96012832641609e-05;9.959489227294997e-05;8.493046806346014e-05;8.493046806346014e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325684;1;5.956293247364206e-07;5.955435364334693e-07;5.956293247364206e-07;5.955435364334693e-07;5.956293247364206e-07;5.955435364334693e-07;5.956293247364206e-07;5.955435364334693e-07;2.5871030235290723e-06;2.586730403900166e-06;2.5871030235290723e-06;2.586730403900166e-06;2.2060345360608352e-06;2.2060345360608352e-06;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325685;1;3.659315091592307e-07;3.6457969347636037e-07;3.659315091592307e-07;3.6457969347636037e-07;3.659315091592307e-07;3.6457969347636037e-07;3.659315091592307e-07;3.6457969347636037e-07;1.5894155550003172e-06;1.5835439729690671e-06;1.5894155550003172e-06;1.5835439729690671e-06;1.3553018857749396e-06;1.3553018857749396e-06;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325686;1;4.6254703521728685e-06;4.623653199937625e-06;4.6254703521728685e-06;4.623653199937625e-06;4.6254703521728685e-06;4.623653199937625e-06;4.6254703521728685e-06;4.623653199937625e-06;2.0090629920959624e-05;2.0082737159729158e-05;2.0090629920959624e-05;2.0082737159729158e-05;1.7131371674714466e-05;1.7131371674714466e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
