Elem;node_i;node_j
145688;27704;27705
145689;27705;27706
145690;27706;27707
145691;27707;27708
145692;27708;27709
145693;27709;27710
145694;27710;7005
145695;27711;27713
145696;27713;27714
145697;27714;27715
145698;27715;27716
145699;27716;27717
145700;27717;27718
145701;27718;27719
145702;27719;27712
145703;27720;27721
145704;27721;27722
145705;27722;27723
145706;27723;27724
145707;27724;27725
145708;27725;27726
145709;27726;27711
145710;27727;27728
145711;27728;27729
145712;27729;27730
145713;27730;27731
145714;27731;27732
145715;27732;27733
145716;27733;6987
145717;27734;27736
145718;27736;27737
145719;27737;27738
145720;27738;27739
145721;27739;27740
145722;27740;27741
145723;27741;27742
145724;27742;27735
145725;27743;27744
145726;27744;27745
145727;27745;27746
145728;27746;27747
145729;27747;27748
145730;27748;27749
145731;27749;27734
145732;27750;27751
145733;27751;27752
145734;27752;27753
145735;27753;27754
145736;27754;27755
145737;27755;27756
145738;27756;6932
145739;27766;27767
145740;27767;27768
145741;27768;27769
145742;27769;27770
145743;27770;27771
145744;27771;27772
145745;27772;27757
145746;27757;27759
145747;27759;27760
145748;27760;27761
145749;27761;27762
145750;27762;27763
145751;27763;27764
145752;27764;27765
145753;27765;27758
145754;27773;27774
145755;27774;27775
145756;27775;27776
145757;27776;27777
145758;27777;27778
145759;27778;27779
145760;27779;6950
145761;27789;27790
145762;27790;27791
145763;27791;27792
145764;27792;27793
145765;27793;27794
145766;27794;27795
145767;27795;27780
145768;27780;27782
145769;27782;27783
145770;27783;27784
145771;27784;27785
145772;27785;27786
145773;27786;27787
145774;27787;27788
145775;27788;27781
145776;27796;27798
145777;27798;27799
145778;27799;27800
145779;27800;27801
145780;27801;27802
145781;27802;27803
145782;27803;27804
145783;27804;27797
145784;3563;27806
145785;27806;27807
145786;27807;27808
145787;27808;27809
145788;27809;27810
145789;27810;27811
145790;27811;27812
145791;27812;27805
145792;3565;27814
145793;27814;27815
145794;27815;27816
145795;27816;27817
145796;27817;27818
145797;27818;27819
145798;27819;27820
145799;27820;27813
145800;27821;27823
145801;27823;27824
145802;27824;27825
145803;27825;27826
145804;27826;27827
145805;27827;27828
145806;27828;27829
145807;27829;27822
145808;3718;27831
145809;27831;27832
145810;27832;27833
145811;27833;27834
145812;27834;27835
145813;27835;27836
145814;27836;27837
145815;27837;27830
145816;3716;27839
145817;27839;27840
145818;27840;27841
145819;27841;27842
145820;27842;27843
145821;27843;27844
145822;27844;27845
145823;27845;27838
145824;27846;27848
145825;27848;27849
145826;27849;27850
145827;27850;27851
145828;27851;27852
145829;27852;27853
145830;27853;27854
145831;27854;27847
145832;27855;27857
145833;27857;27858
145834;27858;27859
145835;27859;27860
145836;27860;27861
145837;27861;27862
145838;27862;27863
145839;27863;27856
145840;5667;27865
145841;27865;27866
145842;27866;27867
145843;27867;27868
145844;27868;27869
145845;27869;27870
145846;27870;27871
145847;27871;27864
145848;3824;27873
145849;27873;27874
145850;27874;27875
145851;27875;27876
145852;27876;27877
145853;27877;27878
145854;27878;27879
145855;27879;27872
145856;27880;27882
145857;27882;27883
145858;27883;27884
145859;27884;27885
145860;27885;27886
145861;27886;27887
145862;27887;27888
145863;27888;27881
145864;3927;27890
145865;27890;27891
145866;27891;27892
145867;27892;27893
145868;27893;27894
145869;27894;27895
145870;27895;27896
145871;27896;27889
145872;3926;27898
145873;27898;27899
145874;27899;27900
145875;27900;27901
145876;27901;27902
145877;27902;27903
145878;27903;27904
145879;27904;27897
145880;5637;27906
145881;27906;27907
145882;27907;27908
145883;27908;27909
145884;27909;27910
145885;27910;27911
145886;27911;27912
145887;27912;27905
145888;3825;27914
145889;27914;27915
145890;27915;27916
145891;27916;27917
145892;27917;27918
145893;27918;27919
145894;27919;27920
145895;27920;27913
145896;27921;27923
145897;27923;27924
145898;27924;27925
145899;27925;27926
145900;27926;27927
145901;27927;27928
145902;27928;27929
145903;27929;27922
